Модуль ошибки
Время, с	Ошибка, м
732816290	84.9127
732816300	85.8462
732816310	87.2892
732816320	88.8595
732816330	89.8344
732816340	93.9268
732816350	97.599
732816360	98.4571
732816370	111.17
732816380	110.372
732816390	39.2954
732816400	40.7921
732816410	42.0884
732816420	42.0255
732816430	42.753
732816440	44.606
732816450	45.7081
732816460	48.2313
732816470	45.4238
732816480	45.3297
732816490	45.6273
732816500	45.8704
732816510	45.6353
732816520	38.12
732816530	38.0756
732816540	37.7938
732816550	37.5667
732816560	37.3862
732816570	37.5149
732816580	37.0551
732816590	61.4691
732816600	51.3487
732816610	42.9357
732816620	43.0337
732816630	37.9943
732816640	37.747
732816650	38.9371
732816660	38.0125
732816670	38.1397
732816680	37.9706
732816690	38.552
732816700	38.7801
732816710	38.6221
732816720	38.7006
732816730	37.7962
732816740	37.653
732816750	38.4158
732816760	37.8373
732816770	39.2132
732816780	38.7894
732816790	39.0007
732816800	38.4157
732816810	37.6614
732816820	37.1126
732816830	37.28
732816840	37.5594
732816850	37.1364
732816860	36.4489
732816870	36.557
732816880	35.7527
732816890	35.2028
732816900	35.2651
732816910	34.6913
732816920	34.2124
732816930	34.4539
732816940	33.7202
732816950	33.6569
732816960	33.7948
732816970	33.7727
732816980	33.8749
732816990	33.6889
732817000	33.7761
732817010	33.859
732817020	33.4015
732817030	32.9524
732817040	33.0633
732817050	33.0321
732817060	32.741
732817070	32.7242
732817080	31.9041
732817090	31.4883
732817100	31.8275
732817110	31.589
732817120	31.9784
